Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
206	2023-09-21 10:12:48	9	2023-09-21 21:28:48	9	Midnight	120.583	nan	-6.00
207	2023-09-21 21:28:48	9	2023-09-22 10:10:48	9	Midday	120.789	nan	-6.00
208	2023-09-22 10:10:48	9	2023-09-22 21:29:48	9	Midnight	120.619	nan	-6.00
209	2023-09-22 21:29:48	9	2023-09-23 10:06:48	9	Midday	121.075	nan	-6.00
210	2023-09-23 10:06:48	9	2023-09-23 21:27:48	9	Midnight	121.281	nan	-6.00
211	2023-09-23 21:27:48	9	2023-09-24 10:12:48	9	Midday	120.487	nan	-6.00
212	2023-09-24 10:12:48	9	2023-09-24 21:29:48	9	Midnight	120.194	nan	-6.00
213	2023-09-24 21:29:48	9	2023-09-25 10:01:48	9	Midday	121.525	nan	-6.00
214	2023-09-25 10:01:48	9	2023-09-25 21:28:48	9	Midnight	121.607	nan	-6.00
215	2023-09-25 21:28:48	9	2023-09-26 10:02:48	9	Midday	121.439	nan	-6.00
216	2023-09-26 10:02:48	9	2023-09-26 21:30:48	9	Midnight	121.146	nan	-6.00
217	2023-09-26 21:30:48	9	2023-09-27 10:01:48	9	Midday	121.228	nan	-6.00
218	2023-09-27 10:01:48	9	2023-09-27 21:29:48	9	Midnight	121.310	nan	-6.00
219	2023-09-27 21:29:48	9	2023-09-28 09:58:48	9	Midday	121.643	nan	-6.00
220	2023-09-28 09:58:48	9	2023-09-28 21:31:48	9	Midnight	121.350	nan	-6.00
221	2023-09-28 21:31:48	9	2023-09-29 10:05:48	9	Midday	120.433	nan	-6.00
222	2023-09-29 10:05:48	9	2023-09-29 21:34:48	9	Midnight	120.016	nan	-6.00
223	2023-09-29 21:34:48	9	2023-09-30 10:04:48	9	Midday	120.100	nan	-6.00
224	2023-09-30 10:04:48	9	2023-09-30 21:34:48	9	Midnight	120.059	nan	-6.00
225	2023-09-30 21:34:48	9	2023-10-01 10:00:48	9	Midday	120.518	nan	-6.00
226	2023-10-01 10:00:48	9	2023-10-01 21:34:48	9	Midnight	120.477	nan	-6.00
227	2023-10-01 21:34:48	9	2023-10-02 09:58:48	9	Midday	120.687	nan	-6.00
228	2023-10-02 09:58:48	9	2023-10-02 21:35:48	9	Midnight	120.521	nan	-6.00
229	2023-10-02 21:35:48	9	2023-10-03 09:57:48	9	Midday	120.607	nan	-6.00
230	2023-10-03 09:57:48	9	2023-10-03 21:34:48	9	Midnight	120.692	nan	-6.00
231	2023-10-03 21:34:48	9	2023-10-04 09:57:48	9	Midday	120.653	nan	-6.00
232	2023-10-04 09:57:48	9	2023-10-04 21:35:48	9	Midnight	120.489	nan	-6.00
233	2023-10-04 21:35:48	9	2023-10-05 09:52:48	9	Midday	121.076	nan	-6.00
234	2023-10-05 09:52:48	9	2023-10-05 21:35:48	9	Midnight	121.038	nan	-6.00
235	2023-10-05 21:35:48	9	2023-10-06 09:47:48	9	Midday	121.625	nan	-6.00
236	2023-10-06 09:47:48	9	2023-10-06 21:34:48	9	Midnight	121.713	nan	-6.00
237	2023-10-06 21:34:48	9	2023-10-07 09:54:48	9	Midday	120.801	60.147	-6.00
238	2023-10-07 09:54:48	9	2023-10-07 21:34:48	9	Midnight	120.764	57.480	-6.00
239	2023-10-07 21:34:48	9	2023-10-08 09:57:48	9	Midday	120.353	42.187	-6.00
240	2023-10-08 09:57:48	9	2023-10-08 21:33:48	9	Midnight	120.443	37.963	-6.00
241	2023-10-08 21:33:48	9	2023-10-09 09:53:48	9	Midday	120.908	42.643	-6.00
242	2023-10-09 09:53:48	9	2023-10-09 21:33:48	9	Midnight	120.873	40.727	-6.00
243	2023-10-09 21:33:48	9	2023-10-10 09:52:48	9	Midday	120.964	39.824	-6.00
244	2023-10-10 09:52:48	9	2023-10-10 21:35:48	9	Midnight	120.680	41.303	-6.00
245	2023-10-10 21:35:48	9	2023-10-11 09:55:48	9	Midday	120.272	34.961	-6.00
246	2023-10-11 09:55:48	9	2023-10-11 21:34:48	9	Midnight	120.364	32.614	-6.00
247	2023-10-11 21:34:48	9	2023-10-12 09:54:48	9	Midday	120.456	32.348	-6.00
248	2023-10-12 09:54:48	9	2023-10-12 21:33:48	9	Midnight	120.550	30.324	-6.00
249	2023-10-12 21:33:48	9	2023-10-13 09:53:48	9	Midday	120.643	30.189	-6.00
250	2023-10-13 09:53:48	9	2023-10-13 21:32:48	9	Midnight	120.738	28.403	-6.00
251	2023-10-13 21:32:48	9	2023-10-14 09:49:48	9	Midday	121.208	31.552	-6.00
252	2023-10-14 09:49:48	9	2023-10-14 21:29:48	9	Midnight	121.553	27.790	-6.00
253	2023-10-14 21:29:48	9	2023-10-15 09:49:48	9	Midday	121.524	26.789	-6.00
254	2023-10-15 09:49:48	9	2023-10-15 21:35:48	9	Midnight	120.745	32.042	-6.00
255	2023-10-15 21:35:48	9	2023-10-16 09:52:48	9	Midday	120.343	28.212	-6.00
256	2023-10-16 09:52:48	9	2023-10-16 21:30:48	9	Midnight	120.940	23.159	-6.00
257	2023-10-16 21:30:48	9	2023-10-17 09:50:48	9	Midday	121.164	24.196	-6.00
258	2023-10-17 09:50:48	9	2023-10-17 21:29:48	9	Midnight	121.263	22.954	-6.00
259	2023-10-17 21:29:48	9	2023-10-18 09:51:48	9	Midday	121.112	21.430	-6.00
260	2023-10-18 09:51:48	9	2023-10-18 21:35:48	9	Midnight	120.337	26.042	-6.00
261	2023-10-18 21:35:48	9	2023-10-19 09:49:48	9	Midday	120.563	26.918	-6.00
262	2023-10-19 09:49:48	9	2023-10-19 21:31:48	9	Midnight	121.040	23.399	-6.00
