Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
190	2023-09-12 10:20:17	9	2023-09-12 21:24:17	9	Midnight	121.013	11.488	-6.00
191	2023-09-12 21:24:17	9	2023-09-13 10:22:17	9	Midday	120.719	14.902	-6.00
192	2023-09-13 10:22:17	9	2023-09-13 21:26:17	9	Midnight	120.424	12.381	-6.00
193	2023-09-13 21:26:17	9	2023-09-14 10:21:17	9	Midday	120.505	11.965	-6.00
194	2023-09-14 10:21:17	9	2023-09-14 21:26:17	9	Midnight	120.461	11.939	-6.00
195	2023-09-14 21:26:17	9	2023-09-15 10:13:17	9	Midday	121.416	-2.069	-6.00
196	2023-09-15 10:13:17	9	2023-09-15 21:32:18	9	Midnight	120.620	nan	-6.00
197	2023-09-15 21:32:18	9	2023-09-16 10:17:18	9	Midday	120.073	-8.836	-6.00
198	2023-09-16 10:17:18	9	2023-09-16 21:26:18	9	Midnight	120.778	6.756	-6.00
199	2023-09-16 21:26:18	9	2023-09-17 10:52:18	9	Midday	116.358	44.396	-6.00
200	2023-09-17 10:52:18	9	2023-09-17 19:14:18	9	Midnight	132.817	72.044	-6.00
201	2023-09-17 19:14:18	9	2023-09-18 10:09:18	9	Midday	138.149	68.421	-6.00
202	2023-09-18 10:09:18	9	2023-09-18 20:46:18	9	Midnight	126.601	45.106	-6.00
203	2023-09-18 20:46:18	9	2023-09-19 10:12:18	9	Midday	126.182	47.879	-6.00
204	2023-09-19 10:12:18	9	2023-09-19 20:56:19	9	Midnight	124.885	42.582	-6.00
205	2023-09-19 20:56:19	9	2023-09-20 10:06:19	9	Midday	125.588	39.307	-6.00
206	2023-09-20 10:06:19	9	2023-09-20 21:28:19	9	Midnight	121.543	nan	-6.00
207	2023-09-20 21:28:19	9	2023-09-21 10:05:19	9	Midday	121.623	nan	-6.00
208	2023-09-21 10:05:19	9	2023-09-21 21:30:19	9	Midnight	121.329	nan	-6.00
209	2023-09-21 21:30:19	9	2023-09-22 12:07:19	9	Midday	106.031	70.641	-6.00
210	2023-09-22 12:07:19	9	2023-09-22 21:30:19	9	Midnight	105.987	71.174	-6.00
211	2023-09-22 21:30:19	9	2023-09-23 09:59:20	9	Midday	121.944	nan	-6.00
212	2023-09-23 09:59:20	9	2023-09-23 21:29:20	9	Midnight	122.023	nan	-6.00
213	2023-09-23 21:29:20	9	2023-09-24 10:27:20	9	Midday	118.479	-31.747	-6.00
214	2023-09-24 10:27:20	9	2023-09-24 18:23:20	9	Midnight	141.691	-77.102	-6.00
215	2023-09-24 18:23:20	9	2023-09-25 10:04:20	9	Midday	144.523	-75.472	-6.00
216	2023-09-25 10:04:20	9	2023-09-25 18:34:20	9	Midnight	143.104	-74.294	-6.00
217	2023-09-25 18:34:20	9	2023-09-26 10:06:20	9	Midday	142.811	-74.025	-6.00
218	2023-09-26 10:06:20	9	2023-09-26 20:36:20	9	Midnight	127.514	-51.104	-6.00
219	2023-09-26 20:36:20	9	2023-09-27 15:45:21	9	Midday	85.084	-80.626	-6.00
220	2023-09-27 15:45:21	9	2023-09-27 20:11:21	9	Midnight	88.165	-80.742	-6.00
221	2023-09-27 20:11:21	9	2023-09-28 12:52:21	9	Midday	109.752	-76.239	-6.00
222	2023-09-28 12:52:21	9	2023-09-28 21:28:21	9	Midnight	100.083	-71.079	-6.00
223	2023-09-28 21:28:21	9	2023-09-29 10:02:21	9	Midday	121.296	nan	-6.00
224	2023-09-29 10:02:21	9	2023-09-29 20:51:21	9	Midnight	125.880	-33.455	-6.00
225	2023-09-29 20:51:21	9	2023-09-30 10:23:21	9	Midday	123.213	-46.183	-6.00
226	2023-09-30 10:23:21	9	2023-09-30 20:56:21	9	Midnight	122.547	-42.634	-6.00
227	2023-09-30 20:56:21	9	2023-10-01 10:00:22	9	Midday	125.379	-24.609	-6.00
228	2023-10-01 10:00:22	9	2023-10-01 19:46:22	9	Midnight	134.088	-57.966	-6.00
229	2023-10-01 19:46:22	9	2023-10-02 09:55:22	9	Midday	134.673	-56.227	-6.00
230	2023-10-02 09:55:22	9	2023-10-02 20:11:22	9	Midnight	131.507	-47.566	-6.00
231	2023-10-02 20:11:22	9	2023-10-03 09:56:22	9	Midday	131.342	-47.395	-6.00
232	2023-10-03 09:56:22	9	2023-10-03 21:28:22	9	Midnight	121.676	nan	-6.00
233	2023-10-03 21:28:22	9	2023-10-04 12:24:22	9	Midday	103.133	-62.897	-6.00
234	2023-10-04 12:24:22	9	2023-10-04 21:32:22	9	Midnight	102.594	-61.779	-6.00
235	2023-10-04 21:32:22	9	2023-10-05 09:57:23	9	Midday	120.932	nan	-6.00
236	2023-10-05 09:57:23	9	2023-10-05 17:58:23	9	Midnight	147.648	-68.490	-6.00
237	2023-10-05 17:58:23	9	2023-10-06 09:58:23	9	Midday	147.485	-68.228	-6.00
238	2023-10-06 09:58:23	9	2023-10-06 21:22:23	9	Midnight	121.942	20.501	-6.00
239	2023-10-06 21:22:23	9	2023-10-07 09:58:23	9	Midday	121.905	18.885	-6.00
240	2023-10-07 09:58:23	9	2023-10-07 21:26:23	9	Midnight	121.369	25.893	-6.00
241	2023-10-07 21:26:23	9	2023-10-08 09:54:23	9	Midday	121.833	31.589	-6.00
242	2023-10-08 09:54:23	9	2023-10-08 18:14:23	9	Midnight	145.802	-64.497	-6.00
243	2023-10-08 18:14:23	9	2023-10-09 09:56:24	9	Midday	145.515	-64.355	-6.00
244	2023-10-09 09:56:24	9	2023-10-09 21:30:24	9	Midnight	120.973	30.754	-6.00
245	2023-10-09 21:30:24	9	2023-10-10 09:54:24	9	Midday	121.189	32.030	-6.00
246	2023-10-10 09:54:24	9	2023-10-10 21:35:24	9	Midnight	120.530	38.363	-6.00
247	2023-10-10 21:35:24	9	2023-10-11 09:49:24	9	Midday	121.122	43.235	-6.00
248	2023-10-11 09:49:24	9	2023-10-11 21:33:24	9	Midnight	121.339	39.172	-6.00
249	2023-10-11 21:33:24	9	2023-10-12 09:52:24	9	Midday	120.932	33.602	-6.00
250	2023-10-12 09:52:24	9	2023-10-12 21:30:24	9	Midnight	121.275	29.131	-6.00
251	2023-10-12 21:30:24	9	2023-10-13 09:52:25	9	Midday	121.241	27.875	-6.00
252	2023-10-13 09:52:25	9	2023-10-13 21:30:25	9	Midnight	121.209	27.299	-6.00
253	2023-10-13 21:30:25	9	2023-10-14 11:44:25	9	Midday	107.176	-44.734	-6.00
254	2023-10-14 11:44:25	9	2023-10-14 21:29:25	9	Midnight	107.272	-44.500	-6.00
255	2023-10-14 21:29:25	9	2023-10-15 09:51:25	9	Midday	121.370	24.795	-6.00
256	2023-10-15 09:51:25	9	2023-10-15 21:33:25	9	Midnight	120.841	28.220	-6.00
257	2023-10-15 21:33:25	9	2023-10-16 09:47:25	9	Midday	121.314	30.997	-6.00
258	2023-10-16 09:47:25	9	2023-10-16 21:31:25	9	Midnight	121.536	28.611	-6.00
259	2023-10-16 21:31:25	9	2023-10-17 09:54:26	9	Midday	120.632	21.520	-6.00
260	2023-10-17 09:54:26	9	2023-10-17 21:33:26	9	Midnight	120.354	22.952	-6.00
261	2023-10-17 21:33:26	9	2023-10-18 09:50:26	9	Midday	120.829	25.629	-6.00
262	2023-10-18 09:50:26	9	2023-10-18 21:35:26	9	Midnight	120.554	26.855	-6.00
263	2023-10-18 21:35:26	9	2023-10-19 09:45:26	9	Midday	121.155	30.054	-6.00
264	2023-10-19 09:45:26	9	2023-10-19 21:20:26	9	Midnight	123.007	17.924	-6.00
265	2023-10-19 21:20:26	9	2023-10-20 09:47:26	9	Midday	122.734	15.907	-6.00
266	2023-10-20 09:47:26	9	2023-10-20 20:55:26	9	Midnight	125.837	-2.087	-6.00
267	2023-10-20 20:55:26	9	2023-10-21 12:19:27	9	Midday	106.811	-53.445	-6.00
268	2023-10-21 12:19:27	9	2023-10-21 20:28:27	9	Midnight	110.163	-56.669	-6.00
269	2023-10-21 20:28:27	9	2023-10-22 09:46:27	9	Midday	129.271	-16.814	-6.00
270	2023-10-22 09:46:27	9	2023-10-22 21:40:27	9	Midnight	120.250	29.005	-6.00
271	2023-10-22 21:40:27	9	2023-10-23 09:46:27	9	Midday	120.231	28.404	-6.00
272	2023-10-23 09:46:27	9	2023-10-23 21:32:27	9	Midnight	121.214	22.825	-6.00
273	2023-10-23 21:32:27	9	2023-10-24 09:45:27	9	Midday	121.321	23.008	-6.00
274	2023-10-24 09:45:27	9	2023-10-24 21:30:27	9	Midnight	121.555	21.452	-6.00
275	2023-10-24 21:30:27	9	2023-10-25 09:47:28	9	Midday	121.287	19.774	-6.00
276	2023-10-25 09:47:28	9	2023-10-25 21:33:28	9	Midnight	120.895	21.406	-6.00
277	2023-10-25 21:33:28	9	2023-10-26 09:47:28	9	Midday	120.881	21.017	-6.00
278	2023-10-26 09:47:28	9	2023-10-26 21:30:28	9	Midnight	121.242	18.986	-6.00
